Player,Pos,Team,Age,Min,Skill / Pot,ETV
Djed Spence,DF,Tottenham,24-259,1424.0,72.5 / 76.5,€19.2M
Dominic Calvert-Lewin,FW,Everton,28-040,1574.0,67.6 / 68.8,€17.8M
Dominic Solanke,FW,Tottenham,27-223,2052.0,79.5 / 80.2,€51M
Dominik Szoboszlai,MF,Liverpool,24-182,2190.0,86.9 / 93.8,€70.5M
Dwight McNeil,"MF,FW",Everton,25-154,1157.0,70.8 / 75.4,€27M
Eberechi Eze,"MF,FW",Crystal Palace,26-300,2337.0,74.9 / 75.8,€62.2M
Ederson,GK,Manchester City,31-251,1960.0,80.2 / 80.2,€19.5M
Edson Álvarez,MF,West Ham,27-183,1633.0,70.8 / 71.7,€36.7M
Elliot Anderson,MF,Nott'ham Forest,22-170,2317.0,79.6 / 89.8,€46.2M
Emerson Palmieri,DF,West Ham,30-265,1930.0,67.0 / 67.0,€12.7M
Emile Smith Rowe,MF,Fulham,24-271,1827.0,75.7 / 80.3,€40.4M
Emiliano Martínez,GK,Aston Villa,32-235,2880.0,74.2 / 74.2,€23M
Emmanuel Agbadou,DF,Wolves,27-312,960.0,68.7 / 68.7,€18M
Enzo Fernández,MF,Chelsea,24-098,2500.0,75.1 / 82.7,€74.2M
Erling Haaland,FW,Manchester City,24-278,2480.0,92.8 / 100.0,€199.6M
Ethan Pinnock,DF,Brentford,31-331,1913.0,70.5 / 70.5,€7.6M
Evanilson,FW,Bournemouth,25-201,1903.0,73.4 / 77.4,€26.9M
Ezri Konsa,DF,Aston Villa,27-184,2576.0,75.9 / 76.1,€44.3M
Fabian Schär,DF,Newcastle Utd,33-126,2493.0,70.9 / 70.9,€7.5M
Facundo Buonanotte,"FW,MF",Leicester City,20-123,1429.0,66.8 / 84.2,€31.1M
Flynn Downes,MF,Southampton,26-095,1701.0,64.6 / 68.0,€8.5M
Gabriel Magalhães,DF,Arsenal,27-127,2363.0,84.8 / 86.5,€66.5M
Gabriel Martinelli,"FW,MF",Arsenal,23-311,1956.0,87.7 / 96.4,€60M
Georginio Rutter,"MF,FW",Brighton,23-005,1656.0,72.1 / 79.0,€41.2M
Guglielmo Vicario,GK,Tottenham,28-200,1890.0,72.3 / 72.3,€41.6M
Guido Rodríguez,MF,West Ham,31-013,1018.0,71.6 / 71.6,€13.6M
Harry Maguire,DF,Manchester Utd,32-051,1418.0,67.6 / 68.2,€13.8M
Harry Winks,MF,Leicester City,29-082,1538.0,68.2 / 68.4,€11.5M
Harvey Barnes,FW,Newcastle Utd,27-137,1337.0,78.2 / 78.6,€42.6M
Ibrahima Konaté,DF,Liverpool,25-335,2230.0,81.4 / 85.4,€57.2M
Iliman Ndiaye,FW,Everton,25-050,2117.0,68.5 / 72.9,€24.9M
Illia Zabarnyi,DF,Bournemouth,22-236,2662.0,75.3 / 88.1,€55.1M
Issa Diop,DF,Fulham,28-106,1339.0,70.8 / 71.5,€17.9M
Jack Clarke,"FW,MF",Ipswich Town,24-153,994.0,62.8 / 67.8,€19.4M
Jack Harrison,FW,Everton,28-156,1825.0,72.0 / 72.0,€17.9M
Jack Hinshelwood,"DF,MF",Brighton,20-014,1595.0,68.5 / 84.7,€9.2M
Jack Stephens,DF,Southampton,31-088,1074.0,60.6 / 61.0,€1.4M
Jacob Greaves,DF,Ipswich Town,24-225,1755.0,65.2 / 73.1,€25.4M
Jacob Murphy,FW,Newcastle Utd,30-060,2018.0,77.2 / 77.2,€17.9M
Jacob Ramsey,"FW,MF",Aston Villa,23-332,1485.0,78.8 / 85.9,€45.7M
Jadon Sancho,FW,Chelsea,25-031,1655.0,78.9 / 85.6,€36.2M
Jake O'Brien,DF,Everton,23-345,1211.0,65.4 / 69.0,€19.7M
James Garner,"MF,DF",Everton,24-043,1144.0,74.9 / 80.4,€23.2M
James Justin,DF,Leicester City,27-061,2534.0,67.9 / 70.6,€16.4M
James Maddison,MF,Tottenham,28-153,1764.0,81.2 / 81.2,€57.3M
James Tarkowski,DF,Everton,32-157,2922.0,74.9 / 74.9,€15.5M
Jamie Vardy,FW,Leicester City,38-104,2481.0,67.3 / 69.5,€1.2M
Jan Bednarek,DF,Southampton,29-013,2261.0,63.8 / 64.6,€13M
Jan Paul van Hecke,DF,Brighton,24-321,2598.0,72.3 / 78.6,€41.9M
Jannik Vestergaard,DF,Leicester City,32-265,1391.0,61.7 / 61.7,€2M
Jarrad Branthwaite,DF,Everton,22-302,2168.0,77.2 / 85.6,€32.9M
Jarrod Bowen,"FW,MF",West Ham,28-126,2541.0,73.5 / 75.3,€48.4M
Jean-Clair Todibo,DF,West Ham,25-116,1395.0,73.4 / 77.6,€36.1M
Jean-Philippe Mateta,FW,Crystal Palace,27-301,2442.0,74.8 / 74.8,€31.7M
Jean-Ricner Bellegarde,"MF,FW",Wolves,26-302,1479.0,68.6 / 69.1,€21.3M
Jefferson Lerma,"MF,DF",Crystal Palace,30-182,2030.0,70.8 / 70.8,€12.8M
Jens Cajuste,MF,Ipswich Town,25-258,1774.0,66.1 / 68.8,€15.4M
