Actual ETV (€),Predicted ETV (€)
40.60000000000001,30.618326063742746
21.299999999999997,21.330816131534235
62.99999999999998,41.21564684686273
44.300000000000004,55.90037562016791
20.200000000000003,28.938574128388392
14.100000000000003,6.916167668314302
13.600000000000001,11.919249311516701
22.600000000000005,32.17304004693268
5.700000000000001,6.663100484195907
70.0,80.90375685449554
36.699999999999996,22.349395825189557
18.800000000000004,32.7616009746075
16.2,24.073670504913174
57.20000000000001,52.42888300905228
61.99999999999999,25.37423874576528
23.200000000000003,37.688397661972644
25.8,45.90782821502051
28.89999999999999,28.832735621204012
65.99999999999997,45.38279315679499
26.400000000000002,34.92727843104823
11.599999999999996,8.954194544036197
17.800000000000004,15.138994084809237
24.399999999999995,29.065102534463406
48.400000000000006,45.67861561966675
11.2,6.450212632080653
8.3,11.917015742531653
17.999999999999996,13.489475708026882
1.6999999999999997,5.771838122773768
117.00000000000004,84.57407972652365
1.2000000000000002,2.232987191803301
1.2999999999999998,1.902140115741024
19.100000000000005,16.745659555890004
32.0,49.661842036888544
49.199999999999996,22.361095911714557
49.29999999999999,35.671041407845365
70.49999999999997,111.57040036859885
17.499999999999996,25.051311918953033
1.2999999999999998,5.206727162493569
59.200000000000024,49.7847703879769
60.3,108.32747771104574
15.700000000000003,25.61088339203767
39.60000000000001,32.114092054253184
56.300000000000004,29.857345882456052
5.1,5.164344093683368
31.70000000000001,32.02137568538122
19.5,22.486706974040747
45.39999999999999,43.02148554018772
40.4,47.9117984202802
69.3,66.93173217794971
17.999999999999996,33.22291293555107
7.5,7.461846858130452
29.699999999999996,41.627451308932855
22.200000000000003,42.566930504345926
29.4,39.56662416993179
28.400000000000002,19.572900872782768
24.499999999999996,17.30462697820758
